[Result Details],,,,,,,,,,,,,,,,,,,,,,,,,,
Result Name,[80.78] FSAE Aero Pwr90%, FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,10/11/2016 10:10,,,,,,,,,,,,,,,,,,,,,,,,,
Track,FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Track Configuration,Closed Circuit,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,FSAE Aero,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
38.80552811,0.497937058,6.5,-14.15869679,-0.536233963,1,13,6082.514472,43.83163595,37.43996052,93.98086674,62.65391116,0,0,0,-8.206517753,1,40.31075991,1.5,1.4,-22.07989265,-11.86796558,-1.189011897,5.069466964,4.319806298,0,2742.680867
38.76070441,0.52115645,6.75,-15.23591045,0,1,13,6075.488649,43.83922422,37.4031884,93.76388029,62.50925353,0,5.589005658,0,-7.608690338,1,38.76070441,1.5,1.4,-23.92789122,-12.53627624,-3.014089615,5.301807689,4.433125233,0,2742.46388
38.60426595,0.54469862,7,-14.64528382,-4.424629988,1,13,6050.967936,43.86570791,37.27473331,93.00854435,62.00569623,100,0,27.41606523,-7.851774237,1,39.39728854,1.5,1.4,-25.67439812,-12.49754264,0.172293939,5.537684408,4.53889382,0,2741.708544
38.22927054,0.568475301,7.25,-14.63848733,-4.405065272,1,13,5992.189841,43.92919143,36.96607364,91.21038146,60.80692097,62.17952204,0,27.32872641,-7.703548473,1,39.01018158,1.5,1.4,-27.45423942,-12.56201635,-0.283961877,5.776671039,4.637422639,0,2739.910381
37.85221435,0.592492327,7.5,-14.63270311,-4.381148301,1,13,5933.088733,43.99302382,36.65466107,89.42003411,59.61335608,0,0,27.21032875,-7.55532271,1,38.61973645,1.5,1.4,-29.26876887,-12.6639819,-0.444593228,6.018590422,4.728476635,0,2738.120034
37.47341459,0.616755437,7.75,-14.62828812,-4.351199068,1,13,5873.714331,44.05715138,36.34074154,87.6392769,58.4261846,0,0,27.0488953,-7.407096946,1,38.22584971,1.5,1.4,-31.11942407,-12.78191242,-0.508988965,6.263250759,4.811817669,0,2736.339277
37.09334956,0.64127009,8,-14.62574555,-4.312763515,1,13,5814.141607,44.12149314,36.02469869,85.87057168,57.24704779,0,0,26.826929,-7.258871183,1,37.82841272,1.5,1.4,-33.00773344,-12.90913877,-0.543475476,6.510444652,4.887204836,0,2734.570572
36.71273632,0.666041196,8.25,-14.62579514,-4.262165041,1,13,5754.482952,44.18592771,35.70712108,84.11738435,56.07825623,0,0,26.51821566,-7.110645419,1,37.42731123,1.5,1.4,-34.93532397,-13.04414526,-0.570739388,6.759948065,4.954394853,0,2732.817384
36.33265357,0.691072662,8.5,-14.62948499,-4.193707842,1,13,5694.907451,44.25027247,35.38890872,82.38468498,54.92312332,0,0,26.08214768,-6.962419656,1,37.02242498,1.5,1.4,-36.90392971,-13.18746784,-0.599593538,7.011519223,5.013142505,0,2731.084685
35.9547448,0.716366653,8.75,-14.63837716,-4.098149316,1,13,5635.672706,44.31424919,35.07144902,80.67977358,53.78651572,0,0,25.45284597,-6.814193892,1,36.61362725,1.5,1.4,-38.91540129,-13.34093472,-0.63536886,7.264897432,5.063201178,0,2729.379774
